"","es_score","brier_score","location","target_date","X24A_50_CI","X24B_50_CI","recombinant_50_CI","X24D_50_CI","other_50_CI","X24A_95_CI","X24B_95_CI","recombinant_95_CI","X24D_95_CI","other_95_CI"
"42",NA,NA,"AK",2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,"AL",2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,"AL",2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,"AL",2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,"AL",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,"AL",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,"AL",2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,"AL",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,"AL",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,"AL",2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,"AL",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,"AL",2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,"AL",2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,"AL",2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,"AL",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,"AL",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,"AL",2024-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,"AL",2024-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,"AL",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,"AL",2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,"AL",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,"AL",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,"AL",2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,"AL",2024-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,"AL",2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,"AL",2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,"AL",2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,"AL",2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,"AL",2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,"AL",2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2.11150961703492,1.25785197487739,"AL",2024-05-06,1,0,1,1,0,0,0,1,1,0
"73",NA,NA,"AL",2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,"AL",2024-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,"AL",2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,"AL",2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,"AL",2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"AL",2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,"AL",2024-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,"AL",2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,"AL",2024-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,"AL",2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,"AL",2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,"AL",2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,"AR",2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,"AR",2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,"AR",2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,"AR",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,"AR",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,"AR",2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,"AR",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"AR",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,"AR",2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,"AR",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,"AR",2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,"AR",2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,"AR",2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,"AR",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,"AR",2024-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,"AR",2024-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,"AR",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,"AR",2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,"AR",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,"AR",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,"AR",2024-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",NA,NA,"AR",2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,"AR",2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,"AR",2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,"AR",2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,"AR",2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,"AR",2024-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,"AR",2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",0.176323538739218,0.124941262615444,"AR",2024-05-08,1,1,1,1,1,1,1,1,1,1
"117",NA,NA,"AR",2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,"AR",2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,"AR",2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,"AR",2024-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,"AR",2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,"AR",2024-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,"AR",2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,"AR",2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,"AR",2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1.09043823287531,0.466213193587357,"AZ",2024-04-07,1,1,1,1,0,0,1,1,1,0
"128",1.04461409151339,0.375399345157753,"AZ",2024-04-08,1,1,1,1,0,0,1,1,1,0
"129",0.00771870689943616,0.0154259997627641,"AZ",2024-04-09,1,1,1,1,1,1,1,1,1,1
"130",NA,NA,"AZ",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,"AZ",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",0.0365773865714821,0.0193426722700479,"AZ",2024-04-12,1,1,1,1,1,1,1,1,1,1
"133",0.0790653998674572,0.0208832721755773,"AZ",2024-04-13,1,1,1,1,1,1,1,1,1,1
"134",NA,NA,"AZ",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",1.44966060393866,0.473244489428111,"AZ",2024-04-15,0,0,1,1,1,0,0,1,1,1
"136",0.481679963947078,0.285198005930204,"AZ",2024-04-16,1,1,1,1,1,0,0,1,1,1
"137",1.0649668784589,0.325637361025553,"AZ",2024-04-17,1,1,1,1,0,0,0,1,1,0
"138",0.0163105209659346,0.0308237410568639,"AZ",2024-04-18,1,1,1,1,1,1,1,1,1,1
"139",0.0169209521069162,0.0333461665914404,"AZ",2024-04-19,1,1,1,1,1,1,1,1,1,1
"140",NA,NA,"AZ",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",1.06241397889735,0.603234598586567,"AZ",2024-04-21,1,1,1,1,0,0,1,1,1,0
"142",0.996808215853325,0.423526542828071,"AZ",2024-04-22,1,1,0,1,1,1,0,0,1,1
"143",0.255819242844958,0.0457042984901414,"AZ",2024-04-23,1,1,1,1,1,0,0,1,1,1
"144",NA,NA,"AZ",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",0.0931108487567093,0.0534840974687922,"AZ",2024-04-25,1,1,1,1,1,1,1,1,1,1
"146",NA,NA,"AZ",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",1.10034306170753,0.870958118773703,"AZ",2024-04-27,1,1,1,1,0,0,1,1,1,0
"148",0.231317356178953,0.0675856520812127,"AZ",2024-04-28,1,1,1,1,1,0,0,1,1,1
"149",1.2305822233186,0.639286309619689,"AZ",2024-04-29,0,1,1,1,0,0,0,1,1,0
"150",2.00594332842026,0.707870275326189,"AZ",2024-04-30,0,1,1,1,0,0,0,1,1,0
"151",0.142639855810189,0.0851173076607838,"AZ",2024-05-01,1,1,1,1,1,0,0,1,1,1
"152",0.160930871820109,0.0918289168756056,"AZ",2024-05-02,1,1,1,1,1,1,1,1,1,1
"153",0.315891387146711,0.0990133344024494,"AZ",2024-05-03,1,1,1,1,1,0,0,1,1,1
"154",NA,NA,"AZ",2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",NA,NA,"AZ",2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",0.745338694635886,0.123639328730966,"AZ",2024-05-06,1,1,1,1,1,0,0,1,1,1
"157",0.604424825489172,0.132950046300412,"AZ",2024-05-07,1,1,1,1,1,1,1,1,1,1
"158",0.795063610498397,0.246943821261239,"AZ",2024-05-08,1,1,1,1,1,1,0,0,1,1
"159",0.348170405371323,0.452710508999056,"AZ",2024-05-09,1,1,1,1,1,0,0,1,1,1
"160",2.28339446154689,0.825792989054152,"AZ",2024-05-10,0,0,1,1,0,0,0,1,1,0
"161",1.5117392942709,1.27121057701608,"AZ",2024-05-11,0,1,1,1,0,0,0,1,1,0
"162",0.10541252314401,0.188755043339137,"AZ",2024-05-12,1,1,1,1,1,1,1,1,1,1
"163",2.45018803639181,0.996411092201045,"AZ",2024-05-13,0,1,1,0,0,0,0,1,0,0
"164",1.01874037452365,0.651581452074704,"AZ",2024-05-14,1,1,1,1,0,0,1,1,1,0
"165",1.02536821940373,0.658696675414118,"AZ",2024-05-15,1,1,1,1,0,0,0,1,1,0
"166",1.08872072848644,1.50804256334055,"AZ",2024-05-16,1,1,1,1,0,0,1,1,1,0
"167",0.660031189555288,0.819706685122881,"AZ",2024-05-17,1,1,1,1,1,1,1,1,1,1
"168",0.155611164897765,0.278345971030888,"AZ",2024-05-18,1,1,1,1,1,1,1,1,1,1
"169",2.04122373316947,0.35122899962661,"CA",2024-04-07,1,0,1,1,0,0,0,0,1,0
"170",1.5643062781756,0.39083803892446,"CA",2024-04-08,1,0,1,0,1,1,0,1,0,1
"171",0.928675530791645,0.428384695807345,"CA",2024-04-09,1,1,1,1,0,0,0,1,1,0
"172",1.6000150984638,0.636811993673641,"CA",2024-04-10,0,1,1,1,0,0,0,1,1,0
"173",1.0286417541581,0.471317775911039,"CA",2024-04-11,1,1,1,1,0,0,0,0,1,0
"174",0.958414736195812,0.511767377914367,"CA",2024-04-12,1,1,1,1,0,0,0,1,1,0
"175",1.98362318277476,0.320845160110677,"CA",2024-04-13,0,0,1,1,0,1,0,1,1,0
"176",0.560477769831599,0.3005870564147,"CA",2024-04-14,1,1,1,1,1,0,1,0,1,1
"177",1.07771213612389,0.428027038903208,"CA",2024-04-15,1,1,1,1,1,0,0,0,0,1
"178",2.9852586301982,0.394356379459789,"CA",2024-04-16,0,0,0,1,1,0,0,0,1,1
"179",6.16498571946733,0.529745922064966,"CA",2024-04-17,1,0,0,1,1,0,0,0,0,1
"180",2.31841915680831,0.452296996994773,"CA",2024-04-18,1,0,0,1,1,0,0,0,1,1
"181",3.30382828932647,0.433220619911342,"CA",2024-04-19,0,0,0,1,1,0,0,0,1,1
"182",0.187539411930455,0.240350019121763,"CA",2024-04-20,1,1,1,1,1,0,1,1,0,1
"183",1.29909446526516,0.50425135909519,"CA",2024-04-21,1,1,1,1,0,1,0,1,1,0
"184",2.6982122830247,0.70367125755076,"CA",2024-04-22,1,1,0,1,0,0,0,0,0,0
"185",1.89166166319939,0.574638721739298,"CA",2024-04-23,1,0,1,1,0,1,0,1,0,0
"186",4.26966986264342,0.738344902956753,"CA",2024-04-24,1,0,0,1,0,0,0,0,1,0
"187",4.79957456798503,0.627806545051902,"CA",2024-04-25,0,0,1,1,0,0,0,0,0,0
"188",1.067249543192,0.464716757217552,"CA",2024-04-26,1,1,1,1,1,0,1,1,0,1
"189",3.25617678251601,0.814594702310302,"CA",2024-04-27,1,1,1,0,0,1,0,1,0,0
"190",4.69633310523907,1.02449219390932,"CA",2024-04-28,0,0,1,1,0,0,0,1,0,0
"191",2.39041103422401,0.587895509639896,"CA",2024-04-29,0,0,0,1,1,0,0,0,1,1
"192",4.56322038141932,0.720454002392135,"CA",2024-04-30,0,0,0,1,0,1,0,0,0,0
"193",1.75080128835502,0.717297014665896,"CA",2024-05-01,1,0,1,1,1,0,0,1,0,1
"194",4.72085858849706,0.67227105011435,"CA",2024-05-02,0,0,1,1,0,0,0,0,1,0
"195",7.60375454291258,0.694931395353168,"CA",2024-05-03,0,0,1,1,0,0,0,1,0,0
"196",3.04531395931691,0.754027350753829,"CA",2024-05-04,0,0,1,1,0,0,0,1,1,0
"197",3.7687101931469,0.609666197583736,"CA",2024-05-05,0,0,1,1,1,0,0,1,1,1
"198",7.97926916940083,0.743619709774176,"CA",2024-05-06,0,0,1,1,0,0,0,1,0,0
"199",8.2176638318115,0.80336383233096,"CA",2024-05-07,1,1,1,1,0,0,0,0,1,0
"200",6.60366696788584,0.79463268859663,"CA",2024-05-08,0,0,1,1,0,0,0,1,0,0
"201",11.8451547594385,0.829840403720816,"CA",2024-05-09,0,0,1,1,0,0,0,0,0,0
"202",3.90015400509848,0.71458108542257,"CA",2024-05-10,0,1,0,1,0,0,0,0,0,0
"203",7.00011895733807,1.00045259896393,"CA",2024-05-11,1,0,0,1,0,0,0,0,0,0
"204",6.82607306153928,0.84739715285176,"CA",2024-05-12,1,1,1,1,0,0,0,1,1,0
"205",6.9532659470969,1.10880059527035,"CA",2024-05-13,0,0,0,1,0,0,0,0,0,0
"206",16.7799141645107,1.22191090113706,"CA",2024-05-14,0,0,1,1,0,0,0,0,0,0
"207",9.3499465296789,0.827833407845946,"CA",2024-05-15,0,1,0,1,0,0,0,0,0,0
"208",12.8762228151392,0.911077464228783,"CA",2024-05-16,0,0,1,1,0,0,0,1,0,0
"209",10.3954057683062,0.923057958555841,"CA",2024-05-17,0,0,0,1,0,0,0,0,0,0
"210",6.72333779644617,1.14995666683013,"CA",2024-05-18,0,0,1,1,0,0,0,1,1,0
"211",NA,NA,"CO",2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,NA,"CO",2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,NA,"CO",2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,NA,"CO",2024-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,"CO",2024-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,"CO",2024-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,"CO",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,"CO",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",0.702911698501525,0.659247449405835,"CO",2024-04-15,1,1,1,1,1,1,0,0,1,1
"220",NA,NA,"CO",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",1.05414549180453,0.8677011896416,"CO",2024-04-17,1,1,1,1,0,0,1,1,1,0
"222",NA,NA,"CO",2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,"CO",2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,"CO",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,"CO",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",0.0759061451157771,0.17362988999162,"CO",2024-04-22,1,1,1,1,1,0,0,1,1,1
"227",0.0739119060037514,0.188042005113123,"CO",2024-04-23,1,1,1,1,1,1,1,1,1,1
"228",NA,NA,"CO",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,"CO",2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,NA,"CO",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,"CO",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,NA,"CO",2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",0.11667136015307,0.293194934991812,"CO",2024-04-29,1,1,1,1,1,0,1,0,1,1
"234",NA,NA,"CO",2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,NA,"CO",2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,"CO",2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,"CO",2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,NA,"CO",2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,"CO",2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",0.590846405435725,0.547168926282998,"CO",2024-05-06,1,1,1,1,1,1,1,1,1,1
"241",NA,NA,"CO",2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",NA,NA,"CO",2024-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",NA,NA,"CO",2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",0.224782980657413,0.563862855889145,"CO",2024-05-10,1,1,1,1,1,1,1,1,1,1
"245",NA,NA,"CO",2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,NA,"CO",2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",0.265011671364196,0.650537641169314,"CO",2024-05-13,1,1,1,1,1,1,1,1,1,1
"248",NA,NA,"CO",2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",0.28063266425182,0.709993883714181,"CO",2024-05-15,1,1,1,1,1,1,1,1,1,1
"250",NA,NA,"CO",2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,"CO",2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,NA,"CO",2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,NA,"CT",2024-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",NA,NA,"CT",2024-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",NA,NA,"CT",2024-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",0.00180691238787243,0.00489351620070767,"CT",2024-04-10,1,1,1,1,1,1,1,1,1,1
"257",0.00215151380712965,0.00536208998664582,"CT",2024-04-11,1,1,1,1,1,1,1,1,1,1
"258",0.00245132708266883,0.00587579154272248,"CT",2024-04-12,1,1,1,1,1,0,1,1,0,1
"259",NA,NA,"CT",2024-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",NA,NA,"CT",2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",NA,NA,"CT",2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",NA,NA,"CT",2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",NA,NA,"CT",2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",0.00358746382867862,0.0101563375978845,"CT",2024-04-18,1,1,1,1,1,1,1,1,1,1
"265",0.00427562014570454,0.0111187837593748,"CT",2024-04-19,1,1,1,1,1,1,1,1,1,1
"266",NA,NA,"CT",2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",NA,NA,"CT",2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",0.976443644732844,0.567562809798085,"CT",2024-04-22,0,0,1,1,1,0,0,1,0,1
"269",1.22390387565071,1.65935307359926,"CT",2024-04-23,0,0,1,1,1,1,1,1,1,1
"270",NA,NA,"CT",2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",1.29006309126107,1.81775006769278,"CT",2024-04-25,0,1,1,0,1,0,1,1,0,1
"272",NA,NA,"CT",2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",NA,NA,"CT",2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",NA,NA,"CT",2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
