...1,es_score,brier_score,location,target_date,X24B_50_CI,X24C_50_CI,X24D_50_CI,X24G_50_CI,recombinant_50_CI,other_50_CI,X24A_50_CI,X24B_95_CI,X24C_95_CI,X24D_95_CI,X24G_95_CI,recombinant_95_CI,other_95_CI,X24A_95_CI
67,NA,NA,AL,2024-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2024-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2024-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,AL,2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2024-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2024-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,AR,2024-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2024-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2024-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2024-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2024-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2024-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0.293575744735402,0.2211025165153395,AR,2024-05-08,1,1,1,1,1,1,1,0,1,1,1,1,1,0
110,NA,NA,AR,2024-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2024-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2024-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2024-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,NA,AZ,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,0.750273615271767,0.2150958401331045,AZ,2024-04-15,1,1,1,1,1,1,1,0,1,1,1,1,1,0
129,0.331059173527379,0.1407598824069965,AZ,2024-04-16,1,1,1,1,1,1,1,0,1,1,1,1,1,0
130,0.877475184673887,0.1646415283750425,AZ,2024-04-17,1,0,1,1,1,1,1,0,0,1,1,1,1,0
131,0.0624021167959175,0.0469036858148681,AZ,2024-04-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,0.0670041798558214,0.05138528147285,AZ,2024-04-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,NA,NA,AZ,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,0.864961466070087,0.293415844613205,AZ,2024-04-21,1,0,1,1,1,1,1,1,0,1,0,1,1,1
135,0.832702000826656,0.2146843130529545,AZ,2024-04-22,1,1,1,1,0,1,1,0,0,1,0,0,1,0
136,0.773961441696634,0.0732278213755105,AZ,2024-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,NA,NA,AZ,2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,0.338106445716702,0.08675511232075,AZ,2024-04-25,1,1,1,1,1,1,1,0,1,1,1,1,1,0
139,NA,NA,AZ,2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,0.866898601874017,0.4026945469717475,AZ,2024-04-27,1,0,1,1,1,1,1,1,0,1,1,1,1,0
141,0.724312248197006,0.1106261732637605,AZ,2024-04-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,0.719520178474782,0.2965830082275325,AZ,2024-04-29,1,0,1,1,1,1,1,1,0,1,1,1,1,0
143,1.69312610615209,0.3478207381738865,AZ,2024-04-30,0,0,1,1,1,1,1,0,0,1,1,1,1,0
144,0.498276240126217,0.1389505448142345,AZ,2024-05-01,1,1,1,1,1,1,1,0,1,1,1,1,1,0
145,0.516944233111161,0.1493743310047585,AZ,2024-05-02,1,1,1,1,1,1,1,0,1,1,1,1,1,0
146,0.960390693041849,0.160272409768434,AZ,2024-05-03,1,1,1,1,1,1,0,0,1,1,0,1,1,0
147,NA,NA,AZ,2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,NA,NA,AZ,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,2.07437275692679,0.19561557857584,AZ,2024-05-06,0,1,1,1,1,1,0,0,0,1,1,1,1,0
150,1.64324755821174,0.208189412667563,AZ,2024-05-07,0,1,1,1,1,1,0,0,1,1,1,1,1,0
151,3.10323564749111,0.2301582957923245,AZ,2024-05-08,0,1,1,1,1,1,0,0,0,1,1,1,1,0
152,0.446189986343887,0.2528371219882875,AZ,2024-05-09,1,1,1,1,1,1,1,1,0,1,1,1,1,0
153,0.935113372222828,0.320427519353288,AZ,2024-05-10,1,1,1,1,1,1,1,0,0,0,0,1,1,1
154,0.894960754509782,0.426403151694608,AZ,2024-05-11,1,0,1,1,1,1,1,0,1,1,1,1,1,0
155,0.374949126410367,0.2752701828236025,AZ,2024-05-12,1,1,1,1,1,1,1,0,1,1,1,1,1,0
156,1.49327879962637,0.4777542624261685,AZ,2024-05-13,0,1,1,1,1,1,1,0,1,0,0,1,1,1
157,1.16022497480766,0.390808366882933,AZ,2024-05-14,1,0,1,1,1,1,1,0,0,0,1,1,1,0
158,1.20076585832637,0.3980015381455025,AZ,2024-05-15,1,0,1,1,1,1,1,0,0,1,1,1,1,0
159,0.800189921767531,0.55365135415733,AZ,2024-05-16,1,0,1,1,1,1,1,0,0,1,1,1,1,1
160,0.357749842953899,0.213786972112416,AZ,2024-05-17,1,1,1,1,1,1,1,0,0,1,1,1,1,1
161,0.487524740398805,0.3583572823424885,AZ,2024-05-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,0.507331423610802,0.3717217332015635,AZ,2024-05-19,1,1,1,1,1,1,1,1,1,0,1,1,1,0
163,0.784881837815937,0.531065513293325,AZ,2024-05-20,1,0,1,1,1,1,1,1,0,1,1,1,1,0
164,1.21673125237895,0.3975871353025755,AZ,2024-05-21,1,1,1,1,1,1,0,0,1,1,0,1,1,0
165,0.955365728254102,0.465419203838232,AZ,2024-05-22,1,0,1,1,1,1,1,1,0,0,1,1,1,1
166,NA,NA,AZ,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,0.61586394241702,0.4336403089822255,AZ,2024-05-24,1,1,1,1,1,1,0,1,1,1,0,1,1,0
168,NA,NA,AZ,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,0.313522544543227,0.1399351401191955,CA,2024-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,1.18061431789268,0.2136782039367595,CA,2024-04-15,1,1,0,1,1,1,1,0,1,0,1,1,1,0
171,1.9086646733974,0.16551410596895,CA,2024-04-16,0,1,1,1,0,1,1,0,1,1,0,0,1,1
172,4.85150221454061,0.2388936338267675,CA,2024-04-17,0,1,0,1,0,1,1,0,0,0,1,0,1,0
173,1.45092088373752,0.218167407350694,CA,2024-04-18,1,1,1,1,0,1,1,1,1,1,1,0,1,0
174,1.76548468952604,0.1851985836236045,CA,2024-04-19,0,1,1,1,0,1,1,0,1,1,1,0,1,0
175,0.0703562619763929,0.0562389214249525,CA,2024-04-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176,1.04801212411466,0.2485449414653175,CA,2024-04-21,1,1,1,0,1,1,1,1,0,1,0,1,1,1
177,4.18063979682119,0.363866955426994,CA,2024-04-22,1,1,0,1,0,0,0,0,1,0,1,0,0,0
178,1.17515215918534,0.2656386089150025,CA,2024-04-23,1,1,0,0,1,1,1,0,1,0,1,1,1,0
179,5.22012624085661,0.374724800978512,CA,2024-04-24,1,1,1,1,0,1,0,0,1,1,1,0,1,0
180,2.86203189420332,0.2855138456953285,CA,2024-04-25,1,1,0,0,1,1,1,0,1,0,0,0,1,0
181,0.692267013310941,0.2259565042909505,CA,2024-04-26,1,1,1,1,1,1,1,0,1,1,1,1,1,0
182,5.35347450794506,0.4142364844670915,CA,2024-04-27,1,1,0,1,1,1,0,0,1,0,1,1,1,0
183,5.10865048861201,0.494692491095535,CA,2024-04-28,1,0,0,1,1,1,0,0,0,0,1,0,1,0
184,1.18586775204751,0.233784433051037,CA,2024-04-29,1,1,1,1,0,1,1,0,0,1,1,0,1,0
185,2.00056581213458,0.3211947837810815,CA,2024-04-30,1,1,1,1,0,1,1,0,0,1,0,0,1,0
186,1.4529792262775,0.324320388511969,CA,2024-05-01,1,1,0,1,1,1,1,0,0,0,0,1,1,0
187,1.41446280113457,0.2840396009299015,CA,2024-05-02,1,1,1,1,1,1,1,0,1,0,0,0,1,0
188,4.07651495886023,0.2593119732196585,CA,2024-05-03,0,1,0,1,1,1,0,0,1,0,1,0,1,0
189,1.78454674422788,0.249862916708749,CA,2024-05-04,0,1,1,1,1,1,0,0,0,1,1,1,1,0
190,2.18367432218078,0.203526748419598,CA,2024-05-05,0,1,1,1,1,1,0,0,1,0,1,1,1,0
191,4.72744463932385,0.2766882849568455,CA,2024-05-06,0,1,1,1,1,1,0,0,1,0,0,1,1,0
192,7.30877809944657,0.404274778233914,CA,2024-05-07,0,0,1,0,1,1,0,0,0,0,0,1,1,0
193,3.35544797585369,0.304859267878625,CA,2024-05-08,0,1,1,1,1,1,0,0,0,0,1,0,1,0
194,4.61932092980049,0.328821729144475,CA,2024-05-09,0,0,1,1,1,1,0,0,0,0,0,1,1,0
195,1.59257599197141,0.3248408081468335,CA,2024-05-10,1,1,1,1,0,1,1,0,0,0,0,1,1,0
196,4.36226886138386,0.406047052351555,CA,2024-05-11,0,0,1,1,0,1,1,0,0,0,0,0,1,0
197,4.84407374391246,0.369216893999434,CA,2024-05-12,1,0,1,1,1,1,0,0,0,0,0,1,1,1
198,3.44043338588593,0.43149216909675,CA,2024-05-13,0,0,1,1,0,1,1,0,0,0,0,0,1,0
199,10.5419581777055,0.4415226958712905,CA,2024-05-14,0,0,1,1,1,1,0,0,0,0,1,0,1,1
200,4.17037027622666,0.346240389859208,CA,2024-05-15,1,0,0,0,0,1,1,0,0,0,1,0,1,0
201,7.44281895794146,0.3427476767427935,CA,2024-05-16,0,0,0,0,1,1,0,0,0,0,0,1,1,0
202,6.36089955667848,0.3488246356165945,CA,2024-05-17,0,1,0,1,0,1,0,0,1,0,0,0,1,0
203,5.09199124987269,0.378760720215538,CA,2024-05-18,0,1,1,1,1,1,0,0,1,0,0,1,1,0
204,6.04886854929358,0.4262517767064955,CA,2024-05-19,0,0,0,0,1,1,0,0,0,0,0,1,1,1
205,8.35949647126581,0.3074887921654445,CA,2024-05-20,1,0,0,0,1,1,0,1,0,0,0,1,1,0
206,13.5921418242992,0.401841724509573,CA,2024-05-21,0,0,0,0,0,1,0,0,0,0,0,0,1,0
207,14.4107423428024,0.392403416215515,CA,2024-05-22,0,0,0,1,0,1,0,0,0,0,0,0,1,0
208,8.7764877491162,0.3427708508043545,CA,2024-05-23,1,0,0,0,1,1,0,0,0,0,0,1,1,0
209,9.85782861204941,0.4219007809427045,CA,2024-05-24,0,0,0,1,0,1,0,0,0,0,0,0,1,0
210,5.52758016890307,0.3566439820062755,CA,2024-05-25,1,0,0,0,1,0,0,1,0,0,0,0,0,0
211,NA,NA,CO,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.65578631712875,0.3498021344180935,CO,2024-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,NA,NA,CO,2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,0.974322507000481,0.4169952811062235,CO,2024-04-17,1,0,1,1,1,1,1,1,0,1,1,1,1,0
215,NA,NA,CO,2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,NA,CO,2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,NA,CO,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,0.0861655573911268,0.067141426368681,CO,2024-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220,0.0919378680323783,0.0732278213755105,CO,2024-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221,NA,NA,CO,2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,NA,NA,CO,2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,NA,NA,CO,2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,NA,NA,CO,2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,0.15546489277373,0.1195708619130525,CO,2024-04-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
227,NA,NA,CO,2024-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,NA,NA,CO,2024-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,NA,CO,2024-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,NA,NA,CO,2024-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,NA,NA,CO,2024-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
